"","Metric","Refactoring","cor_value","p_value"
"90","testCodeRatio","variabletofield",0.566666666666667,0.120574294532628
"91","unitComplexity","extractmethod",-0.3,0.436623677248677
"92","unitComplexity","extractvariable",-0.101709525543122,0.794576966149737
"93","unitComplexity","inline",-0.3,0.436623677248677
"94","unitComplexity","introduceindirection",-0.0666666666666667,0.880092592592593
"95","unitComplexity","introducepo",-0.216666666666667,0.580941358024691
"96","unitComplexity","variabletofield",0.35,0.358581349206349
"97","unitInterfacing","extractmethod",-0.283333333333333,0.462990520282187
"98","unitInterfacing","extractvariable",-0.135612700724162,0.72793110279068
"99","unitInterfacing","inline",-0.0833333333333333,0.843182319223986
"100","unitInterfacing","introduceindirection",0.0333333333333333,0.948390652557319
"101","unitInterfacing","introducepo",-0.166666666666667,0.677744708994709
"102","unitInterfacing","variabletofield",0.216666666666667,0.580941358024691
"103","unitSize","extractmethod",-0.283333333333333,0.462990520282187
"104","unitSize","extractvariable",-0.067806350362081,0.862394191836714
"105","unitSize","inline",-0.4,0.291192680776014
"106","unitSize","introduceindirection",-0.0333333333333333,0.948390652557319
"107","unitSize","introducepo",-0.216666666666667,0.580941358024691
"108","unitSize","variabletofield",0.366666666666667,0.336259920634921
"109","volume","extractmethod",-0.847579379526013,0.0039085480832252
"110","volume","extractvariable",-0.810344827586207,0.00808159929449631
"111","volume","inline",-0.559402390487169,0.11733810288497
"112","volume","introduceindirection",-0.711966678801851,0.031425255860766
"113","volume","introducepo",-0.745869853982892,0.0210263031060696
"114","volume","variabletofield",-0.254273813857804,0.509101514754861
